# timestamp, x, y, z, qw, qx, qy, qz
1.691116804683040768e+18,-1.376519572425894289e+00,1.273811113122419902e+00,3.642529848651552826e-01,9.992667714108978139e-01,8.304795874851597648e-04,-3.715248465040954517e-03,-3.809759554799375253e-02
1.691116804694800128e+18,-1.376508113453151605e+00,1.273803166164889200e+00,3.642681669171085601e-01,9.992658769864732893e-01,7.370011536318203053e-04,-3.703512094864692440e-03,-3.812411202791842618e-02
1.691116804704011264e+18,-1.376514561878551923e+00,1.273793231272493331e+00,3.642594207895479275e-01,9.992650923970899379e-01,7.220654539341135299e-04,-3.715368877016845140e-03,-3.814380385099712389e-02
1.691116804713854720e+18,-1.376523902852816006e+00,1.273775848854357573e+00,3.642562279163781835e-01,9.992642382071164064e-01,7.151105582173870575e-04,-3.703064149326752187e-03,-3.816750153136846957e-02
1.691116804723732224e+18,-1.376538412607572148e+00,1.273774417764767186e+00,3.642318748794755034e-01,9.992631123842199425e-01,7.928725207687407602e-04,-3.697522322955282704e-03,-3.819596719601434792e-02
1.691116804734086656e+18,-1.376547811430001600e+00,1.273753960951560238e+00,3.642313047953776861e-01,9.992617065218315497e-01,7.996635659473159659e-04,-3.579844016664557749e-03,-3.824378556150921649e-02
1.691116804742549760e+18,-1.376560553431530831e+00,1.273760217284650942e+00,3.641875468753624223e-01,9.992608635386963645e-01,8.594838536568860351e-04,-3.697591957875335112e-03,-3.825330967533702858e-02
1.691116804753787392e+18,-1.376575728070185800e+00,1.273767602373848895e+00,3.641666502494101954e-01,9.992623408126505291e-01,8.371738394058644535e-04,-3.739581116767365810e-03,-3.821110972814153323e-02
1.691116804763137792e+18,-1.376581402158510548e+00,1.273804132106349574e+00,3.641729670170675282e-01,9.992621212951960930e-01,9.000784418224800883e-04,-3.674324832807052566e-03,-3.822174957333246414e-02
1.691116804774652416e+18,-1.376560337935281098e+00,1.273804249917620979e+00,3.642048691904648527e-01,9.992638061737980637e-01,8.565698812491099852e-04,-3.695964033492816093e-03,-3.817658718319400651e-02
1.691116804784412416e+18,-1.376532619130617974e+00,1.273795336081420038e+00,3.642012828802822511e-01,9.992629691987658935e-01,7.180572497105000259e-04,-3.794650069865291176e-03,-3.819166679656362667e-02
1.691116804793960192e+18,-1.376525219051593529e+00,1.273787248597647581e+00,3.642516766014571861e-01,9.992658014723834192e-01,7.105726672439923982e-04,-3.730565740659109054e-03,-3.812395537577920740e-02
1.691116804803458304e+18,-1.376525465040585372e+00,1.273758571054195876e+00,3.642697451263853248e-01,9.992677957736688654e-01,8.958764645379743707e-04,-3.767221306571366668e-03,-3.806412718847948518e-02
1.691116804813319424e+18,-1.376508824780944051e+00,1.273783223741375759e+00,3.642738341132378266e-01,9.992648329790779771e-01,7.101756117302571170e-04,-3.714468999246434144e-03,-3.815091010643850700e-02
1.691116804828985088e+18,-1.376501623868646496e+00,1.273791503469452691e+00,3.642493569591511160e-01,9.992640556697939269e-01,7.633660012829092401e-04,-3.701533186004302145e-03,-3.817149421722948466e-02
1.691116804833335808e+18,-1.376510900328460796e+00,1.273784065156936984e+00,3.642150371962674105e-01,9.992652064765310538e-01,8.471764467568969337e-04,-3.793527323943390872e-03,-3.813054638903570770e-02
1.691116804842791680e+18,-1.376535455972816235e+00,1.273791969047218586e+00,3.642226154796856519e-01,9.992638961978707046e-01,8.295466501749422213e-04,-3.658075547133377448e-03,-3.817847680431638024e-02
1.691116804852903936e+18,-1.376562226690227542e+00,1.273768813543493694e+00,3.642203671557833200e-01,9.992612910392303371e-01,8.402172209400657040e-04,-3.605110775072529073e-03,-3.825139790820391433e-02
1.691116804864260352e+18,-1.376576571855645525e+00,1.273770703372187230e+00,3.642237271801915810e-01,9.992619618496280109e-01,8.421782833668013364e-04,-3.637542825995821339e-03,-3.823075487563318969e-02
1.691116804874280960e+18,-1.376579552295653874e+00,1.273769897739564616e+00,3.642240161277592869e-01,9.992619317958282288e-01,8.452944800261159852e-04,-3.684700125316575647e-03,-3.822695548821578027e-02
1.691116804883642368e+18,-1.376561613263309392e+00,1.273784933283319543e+00,3.642277448248905092e-01,9.992612905362637798e-01,7.649956759193597385e-04,-3.688006432519486556e-03,-3.824508629837483631e-02
1.691116804893206784e+18,-1.376541225824369219e+00,1.273790035594356107e+00,3.642364933334748534e-01,9.992629905919683253e-01,8.192527939536488335e-04,-3.718633824826123035e-03,-3.819654723312343458e-02
1.691116804903753984e+18,-1.376525799439005215e+00,1.273798029000185128e+00,3.642485618263895941e-01,9.992655850414644547e-01,7.594419946064837838e-04,-3.693698894266851142e-03,-3.813227488722951281e-02
1.691116804913298176e+18,-1.376508768964949336e+00,1.273801257761303818e+00,3.642639945964924464e-01,9.992663792121760924e-01,7.662236602714452786e-04,-3.734044408280679829e-03,-3.810739022613680860e-02
1.691116804923219456e+18,-1.376507336603092657e+00,1.273791478040945613e+00,3.642368515185612221e-01,9.992663555964719224e-01,8.016382232863516729e-04,-3.795832496277185431e-03,-3.810117589739906580e-02
1.691116804941028096e+18,-1.376500395448217562e+00,1.273774925604501451e+00,3.642341645076941914e-01,9.992668480125608266e-01,8.159793125071813620e-04,-3.764783009799211200e-03,-3.809103634311246378e-02
1.691116804944452864e+18,-1.376531172777269330e+00,1.273771320868416490e+00,3.642269585540859334e-01,9.992632764306629278e-01,7.849375200900329808e-04,-3.737824644043707956e-03,-3.818791585143705564e-02
1.691116804954285312e+18,-1.376541676301141548e+00,1.273764482135405718e+00,3.642180387376016681e-01,9.992626360761431847e-01,8.016865429050085146e-04,-3.667683725301851272e-03,-3.821111797547321193e-02
1.691116804963399680e+18,-1.376560750761671725e+00,1.273782811846237539e+00,3.642036223087848357e-01,9.992605104116593084e-01,8.168419015324308559e-04,-3.680724216474251954e-03,-3.826509336693587754e-02
