# timestamp, wx, wy, wz, ax, ay, az
1.691117558834970368e+18,-4.872107186358099612e-03,1.218026796589524903e-03,3.288672350791717325e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117558844970496e+18,4.872107186358099612e-03,-2.436053593179049806e-03,2.923264311814859767e-02,1.532858880000000090e-01,0.000000000000000000e+00,9.503725056000000393e+00
1.691117558854970368e+18,-1.339829476248477480e-02,2.436053593179049806e-03,2.679658952496954960e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117558864970496e+18,7.308160779537149418e-03,1.096224116930572499e-02,3.045066991473812518e-02,1.532858880000000090e-01,0.000000000000000000e+00,9.657010944000001373e+00
1.691117558874970368e+18,7.308160779537149418e-03,1.461632155907429884e-02,3.288672350791717325e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117558884970496e+18,1.218026796589524903e-03,8.526187576126675188e-03,3.045066991473812518e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.350439168000001189e+00
1.691117558894970368e+18,-8.526187576126675188e-03,6.090133982947624515e-03,2.923264311814859767e-02,0.000000000000000000e+00,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117558904970496e+18,-3.654080389768574709e-03,1.339829476248477480e-02,2.801461632155907364e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117558914970368e+18,-4.872107186358099612e-03,4.872107186358099612e-03,3.654080389768574882e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117558924970496e+18,1.218026796589524903e-03,8.526187576126675188e-03,2.923264311814859767e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117558934970368e+18,0.000000000000000000e+00,9.744214372716199224e-03,3.288672350791717325e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117558944970496e+18,-6.090133982947624515e-03,7.308160779537149418e-03,3.532277710109622132e-02,0.000000000000000000e+00,-3.065717760000000180e-01,9.503725056000000393e+00
1.691117558954970368e+18,1.218026796589524903e-02,1.218026796589524903e-03,3.654080389768574882e-02,0.000000000000000000e+00,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117558964970496e+18,-9.744214372716199224e-03,7.308160779537149418e-03,2.436053593179049806e-02,1.532858880000000090e-01,0.000000000000000000e+00,9.503725056000000393e+00
1.691117558974970624e+18,-6.090133982947624515e-03,7.308160779537149418e-03,3.045066991473812518e-02,0.000000000000000000e+00,-3.065717760000000180e-01,9.657010944000001373e+00
1.691117558984970496e+18,4.872107186358099612e-03,4.872107186358099612e-03,3.410475030450670075e-02,1.532858880000000090e-01,0.000000000000000000e+00,9.503725056000000393e+00
1.691117558994970624e+18,6.090133982947624515e-03,1.096224116930572499e-02,3.775883069427527633e-02,3.065717760000000180e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117559004970496e+18,4.872107186358099612e-03,1.339829476248477480e-02,3.532277710109622132e-02,3.065717760000000180e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117559014970624e+18,-8.526187576126675188e-03,1.705237515225335038e-02,2.801461632155907364e-02,3.065717760000000180e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117559024970496e+18,9.744214372716199224e-03,1.461632155907429884e-02,2.436053593179049806e-02,3.065717760000000180e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117559034970624e+18,2.436053593179049806e-03,3.654080389768574709e-03,3.410475030450670075e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117559044970496e+18,3.654080389768574709e-03,1.827040194884287441e-02,2.314250913520097402e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117559054970624e+18,9.744214372716199224e-03,1.096224116930572499e-02,3.532277710109622132e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117559064970496e+18,-3.654080389768574709e-03,1.339829476248477480e-02,2.801461632155907364e-02,1.532858880000000090e-01,0.000000000000000000e+00,9.657010944000001373e+00
1.691117559074970368e+18,3.654080389768574709e-03,1.339829476248477480e-02,2.801461632155907364e-02,1.532858880000000090e-01,0.000000000000000000e+00,9.810296832000000578e+00
1.691117559084970496e+18,-1.218026796589524903e-03,1.218026796589524903e-03,3.775883069427527633e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.657010944000001373e+00
1.691117559094970368e+18,-1.218026796589524903e-03,1.218026796589524903e-02,2.801461632155907364e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.657010944000001373e+00
1.691117559104970496e+18,2.436053593179049806e-03,8.526187576126675188e-03,2.923264311814859767e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117559114970368e+18,3.654080389768574709e-03,1.339829476248477480e-02,3.532277710109622132e-02,1.532858880000000090e-01,0.000000000000000000e+00,9.657010944000001373e+00
1.691117559124970496e+18,7.308160779537149418e-03,7.308160779537149418e-03,2.923264311814859767e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.657010944000001373e+00
1.691117559134970368e+18,2.436053593179049806e-03,1.339829476248477480e-02,3.166869671132764574e-02,3.065717760000000180e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117559144970496e+18,-6.090133982947624515e-03,1.948842874543239845e-02,2.801461632155907364e-02,0.000000000000000000e+00,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117559154970368e+18,9.744214372716199224e-03,2.436053593179049806e-03,2.314250913520097402e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117559164970496e+18,-4.872107186358099612e-03,1.705237515225335038e-02,3.410475030450670075e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.657010944000001373e+00
1.691117559174970368e+18,-3.654080389768574709e-03,7.308160779537149418e-03,3.410475030450670075e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.503725056000000393e+00
1.691117559184970496e+18,-1.218026796589524903e-02,7.308160779537149418e-03,3.654080389768574882e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117559194970368e+18,1.218026796589524903e-03,8.526187576126675188e-03,3.166869671132764574e-02,3.065717760000000180e-01,0.000000000000000000e+00,9.350439168000001189e+00
1.691117559204970240e+18,2.436053593179049806e-03,4.872107186358099612e-03,3.166869671132764574e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117559214970624e+18,6.090133982947624515e-03,0.000000000000000000e+00,3.166869671132764574e-02,3.065717760000000180e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117559224970496e+18,8.526187576126675188e-03,1.461632155907429884e-02,3.532277710109622132e-02,1.532858880000000090e-01,0.000000000000000000e+00,9.657010944000001373e+00
1.691117559234970624e+18,-8.526187576126675188e-03,1.461632155907429884e-02,3.045066991473812518e-02,0.000000000000000000e+00,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117559244970496e+18,-2.436053593179049806e-03,1.461632155907429884e-02,3.288672350791717325e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117559254970624e+18,-2.436053593179049806e-03,1.461632155907429884e-02,2.923264311814859767e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117559264970496e+18,-4.872107186358099612e-03,1.096224116930572499e-02,3.166869671132764574e-02,1.532858880000000090e-01,0.000000000000000000e+00,9.503725056000000393e+00
1.691117559274970624e+18,-3.654080389768574709e-03,6.090133982947624515e-03,3.045066991473812518e-02,0.000000000000000000e+00,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117559284970496e+18,0.000000000000000000e+00,4.872107186358099612e-03,3.897685749086479690e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.810296832000000578e+00
1.691117559294970624e+18,1.218026796589524903e-03,1.583434835566382287e-02,2.679658952496954960e-02,-4.598576639999999993e-01,-3.065717760000000180e-01,9.350439168000001189e+00
1.691117559304970496e+18,-4.872107186358099612e-03,9.744214372716199224e-03,3.654080389768574882e-02,3.065717760000000180e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117559314970368e+18,-4.872107186358099612e-03,9.744214372716199224e-03,3.045066991473812518e-02,0.000000000000000000e+00,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117559324970496e+18,-1.583434835566382287e-02,1.583434835566382287e-02,3.045066991473812518e-02,1.532858880000000090e-01,-3.065717760000000180e-01,9.657010944000001373e+00
1.691117559334970368e+18,2.436053593179049806e-03,8.526187576126675188e-03,2.801461632155907364e-02,0.000000000000000000e+00,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117559344970496e+18,3.654080389768574709e-03,3.654080389768574709e-03,2.801461632155907364e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117559354970368e+18,-3.654080389768574709e-03,1.218026796589524903e-02,3.288672350791717325e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117559364970496e+18,-1.218026796589524903e-03,1.339829476248477480e-02,3.410475030450670075e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117559374970368e+18,-6.090133982947624515e-03,6.090133982947624515e-03,3.775883069427527633e-02,3.065717760000000180e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117559384970496e+18,-1.218026796589524903e-03,7.308160779537149418e-03,4.506699147381242054e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117559394970368e+18,2.436053593179049806e-03,1.218026796589524903e-02,3.045066991473812518e-02,0.000000000000000000e+00,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117559404970496e+18,0.000000000000000000e+00,8.526187576126675188e-03,2.557856272838002556e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117559414970368e+18,2.436053593179049806e-03,2.436053593179049806e-03,2.801461632155907364e-02,0.000000000000000000e+00,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117559424970496e+18,1.218026796589524903e-03,1.096224116930572499e-02,3.045066991473812518e-02,3.065717760000000180e-01,0.000000000000000000e+00,9.657010944000001373e+00
1.691117559434970368e+18,0.000000000000000000e+00,1.218026796589524903e-02,2.923264311814859767e-02,3.065717760000000180e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117559444970496e+18,2.436053593179049806e-03,8.526187576126675188e-03,3.166869671132764574e-02,7.664294400000000174e-01,-3.065717760000000180e-01,9.503725056000000393e+00
1.691117559454970368e+18,1.218026796589524903e-03,8.526187576126675188e-03,2.923264311814859767e-02,1.532858880000000090e-01,0.000000000000000000e+00,9.657010944000001373e+00
1.691117559464970496e+18,8.526187576126675188e-03,1.096224116930572499e-02,3.410475030450670075e-02,3.065717760000000180e-01,-3.065717760000000180e-01,9.503725056000000393e+00
1.691117559474970624e+18,-4.872107186358099612e-03,7.308160779537149418e-03,2.679658952496954960e-02,1.532858880000000090e-01,0.000000000000000000e+00,9.657010944000001373e+00
1.691117559484970496e+18,2.436053593179049806e-03,1.339829476248477480e-02,2.679658952496954960e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117559494970624e+18,4.872107186358099612e-03,1.583434835566382287e-02,3.410475030450670075e-02,3.065717760000000180e-01,-1.532858880000000090e-01,9.350439168000001189e+00
1.691117559504970496e+18,-6.090133982947624515e-03,9.744214372716199224e-03,2.436053593179049806e-02,1.532858880000000090e-01,0.000000000000000000e+00,9.657010944000001373e+00
