# timestamp, x, y, z, qw, qx, qy, qz
1.691117483314093312e+18,-1.410942282538101278e+00,-1.192642508595537665e+00,3.638685484001892290e-01,9.999603629112243652e-01,-5.956342793069779873e-04,-7.981348782777786255e-03,-3.909347113221883774e-03
1.691117483375922176e+18,-1.410938461624310358e+00,-1.192646698705755126e+00,3.638440588356040006e-01,9.999601244926452637e-01,-5.707285599783062935e-04,-8.010371588170528412e-03,-3.913599997758865356e-03
1.691117483376901888e+18,-1.410938401082933336e+00,-1.192646765096952555e+00,3.638436708048751189e-01,9.999601244926452637e-01,-5.703339702449738979e-04,-8.010831661522388458e-03,-3.913667518645524979e-03
1.691117483384340480e+18,-1.410937941386908978e+00,-1.192647269211181138e+00,3.638407244532713136e-01,9.999600648880004883e-01,-5.673375562764704227e-04,-8.014323189854621887e-03,-3.914179280400276184e-03
1.691117483394172672e+18,-1.410937333777795288e+00,-1.192647935530625869e+00,3.638368300752652940e-01,9.999600648880004883e-01,-5.633769906125962734e-04,-8.018938824534416199e-03,-3.914855420589447021e-03
1.691117483404299520e+18,-1.410936707957646918e+00,-1.192648621820749488e+00,3.638328189764072351e-01,9.999600052833557129e-01,-5.592977395281195641e-04,-8.023692294955253601e-03,-3.915552049875259399e-03
1.691117483413944832e+18,-1.410692243685555347e+00,-1.192616020666343424e+00,3.643898640179094039e-01,9.999749660491943359e-01,-1.587028149515390396e-03,-5.705110263079404831e-03,-3.878075862303376198e-03
1.691117483423388928e+18,-1.410682645928903467e+00,-1.192609512106865388e+00,3.643825031290223171e-01,9.999746680259704590e-01,-1.608878723345696926e-03,-5.747129675000905991e-03,-3.892834996804594994e-03
1.691117483435604736e+18,-1.410666394650291533e+00,-1.192605947167276303e+00,3.644020399316607040e-01,9.999750256538391113e-01,-1.639884198084473610e-03,-5.646328907459974289e-03,-3.917874302715063095e-03
1.691117483444753152e+18,-1.410669152249728997e+00,-1.192620404620368335e+00,3.643901246518358450e-01,9.999747276306152344e-01,-1.645666779950261116e-03,-5.720294546335935593e-03,-3.899369621649384499e-03
1.691117483455461888e+18,-1.410925342853268649e+00,-1.192669186308239260e+00,3.638352252953797605e-01,9.999606013298034668e-01,-6.143066566437482834e-04,-7.937598973512649536e-03,-3.938618581742048264e-03
1.691117483464818432e+18,-1.410680406534420062e+00,-1.192644969636690089e+00,3.643686297784678452e-01,9.999750256538391113e-01,-1.597723457962274551e-03,-5.685550160706043243e-03,-3.883768571540713310e-03
1.691117483473513472e+18,-1.410928066336413433e+00,-1.192669237513171554e+00,3.638269484732230552e-01,9.999600648880004883e-01,-6.347610033117234707e-04,-7.991411723196506500e-03,-3.960032016038894653e-03
1.691117483484367360e+18,-1.410942803053872430e+00,-1.192649219268071326e+00,3.638271927243664217e-01,9.999603033065795898e-01,-5.750170676037669182e-04,-7.991042919456958771e-03,-3.906806465238332748e-03
1.691117483493733120e+18,-1.410681374420806433e+00,-1.192600768639762165e+00,3.643793045390225083e-01,9.999749064445495605e-01,-1.612612628377974033e-03,-5.674367770552635193e-03,-3.928996156901121140e-03
1.691117483503707392e+18,-1.410938583410597857e+00,-1.192638056695756177e+00,3.638209064777656043e-01,9.999600052833557129e-01,-6.467967177741229534e-04,-8.025279268622398376e-03,-3.901231801137328148e-03
1.691117483512893696e+18,-1.410928300527280799e+00,-1.192636368323351181e+00,3.638376848655103246e-01,9.999607801437377930e-01,-6.550058024004101753e-04,-7.915673777461051941e-03,-3.922751173377037048e-03
1.691117483524947712e+18,-1.410934266286734795e+00,-1.192636272417397558e+00,3.638320304069262989e-01,9.999599456787109375e-01,-5.942306597717106342e-04,-8.032690733671188354e-03,-3.904734039679169655e-03
1.691117483540328960e+18,-1.410927078754768971e+00,-1.192648813013878373e+00,3.638548106790609471e-01,9.999606013298034668e-01,-6.725274142809212208e-04,-7.937509566545486450e-03,-3.920800518244504929e-03
1.691117483550584064e+18,-1.410920401662166368e+00,-1.192650704019690533e+00,3.638458363062373468e-01,9.999603629112243652e-01,-6.136458832770586014e-04,-7.969873026013374329e-03,-3.919413778930902481e-03
1.691117483554498560e+18,-1.410929562365192513e+00,-1.192667674714631421e+00,3.638474917520041485e-01,9.999604225158691406e-01,-6.368473405018448830e-04,-7.964762859046459198e-03,-3.919671289622783661e-03
1.691117483570592512e+18,-1.410934753305663980e+00,-1.192652465278858154e+00,3.638297328286177468e-01,9.999601244926452637e-01,-5.587563500739634037e-04,-7.991684600710868835e-03,-3.953176550567150116e-03
1.691117483574166784e+18,-1.410660987202258854e+00,-1.192622302693551850e+00,3.643766112486076514e-01,9.999750256538391113e-01,-1.590294996276497841e-03,-5.664955358952283859e-03,-3.928374499082565308e-03
1.691117483584390912e+18,-1.410667128820904948e+00,-1.192607315913182031e+00,3.643938028280802599e-01,9.999749064445495605e-01,-1.614307169802486897e-03,-5.643763579428195953e-03,-3.963283263146877289e-03
1.691117483593036032e+18,-1.410930491042232893e+00,-1.192650281351239627e+00,3.638501659504869146e-01,9.999600052833557129e-01,-6.076385034248232841e-04,-8.022084832191467285e-03,-3.913242835551500320e-03
1.691117483603467008e+18,-1.410684192241422386e+00,-1.192612362837197182e+00,3.644070729531128650e-01,9.999749064445495605e-01,-1.564611564390361309e-03,-5.711061879992485046e-03,-3.899535862728953362e-03
1.691117483615483904e+18,-1.410927359956548166e+00,-1.192643636789339157e+00,3.638826766641833355e-01,9.999603629112243652e-01,-5.950636113993823528e-04,-7.977715693414211273e-03,-3.905124729499220848e-03
