# timestamp, x, y, z, qw, qx, qy, qz
1.691119075105499136e+18,-8.943495064854691812e-01,-9.946157787104199510e-01,3.643547446928151468e-01,9.968270061391062420e-01,-7.083737125586840296e-04,-4.698572570839388597e-03,-7.945653814649995816e-02
1.691119075115388160e+18,-8.943513089059379473e-01,-9.946088016981389224e-01,3.643495684219982267e-01,9.968259487026347454e-01,-6.725518455707596432e-04,-4.806495594031956475e-03,-7.946366004163035734e-02
1.691119075125430784e+18,-8.943526870656803851e-01,-9.946063855951809973e-01,3.643527231902152774e-01,9.968283561942157256e-01,-7.130800479830460810e-04,-4.775129140566825893e-03,-7.943499194733964763e-02
1.691119075135318528e+18,-8.943669100301466779e-01,-9.946025094032646674e-01,3.643568777155659077e-01,9.968268070296441019e-01,-7.122883507631808109e-04,-4.723621217836204700e-03,-7.945751591246991152e-02
1.691119075150306048e+18,-8.943501473579910099e-01,-9.946041740690064747e-01,3.643555134434384724e-01,9.968278412631736973e-01,-7.906473444429448771e-04,-4.740003443311435749e-03,-7.944282300330895996e-02
1.691119075153901568e+18,-8.943545152184068092e-01,-9.945974741546431686e-01,3.643621030565402652e-01,9.968264983189700779e-01,-8.173047446487296478e-04,-4.645852016611885273e-03,-7.946496285240818580e-02
1.691119075164260352e+18,-8.943532811710040997e-01,-9.946111085166522425e-01,3.643518931369936764e-01,9.968277933934375223e-01,-8.264747210583042129e-04,-4.688497321744423442e-03,-7.944611539131278544e-02
1.691119075181549056e+18,-8.943487794420974524e-01,-9.946129671639249992e-01,3.643319773660480543e-01,9.968284214665016352e-01,-7.376034579328270531e-04,-4.770258807392958357e-03,-7.943424153758900375e-02
1.691119075185604864e+18,-8.943504007918858800e-01,-9.946250450144921151e-01,3.643389570057550264e-01,9.968266557481108014e-01,-7.416189347563899000e-04,-4.778181692014272543e-03,-7.945588317494893527e-02
1.691119075195423232e+18,-8.943489332588723251e-01,-9.946160714065371833e-01,3.643394492564039910e-01,9.968255645558177225e-01,-7.002070308947881379e-04,-4.783218699748404724e-03,-7.946964437418575777e-02
1.691119075205537024e+18,-8.943694010017775309e-01,-9.946046267388701789e-01,3.643416808573330390e-01,9.968223146428518699e-01,-6.993522843963610432e-04,-4.821504170050062467e-03,-7.950809414133842845e-02
1.691119075214519552e+18,-8.943571750182288671e-01,-9.946080082270061240e-01,3.643457366388315188e-01,9.968270719452544393e-01,-6.964439347747834437e-04,-4.789659038146210947e-03,-7.945037928917995929e-02
1.691119075230914048e+18,-8.943581775854690941e-01,-9.946044728644111155e-01,3.643679432256645145e-01,9.968286112997544191e-01,-7.651959224984906634e-04,-4.698918151986420690e-03,-7.943585045559900526e-02
