# timestamp, x, y, z, qw, qx, qy, qz
1.691117773205322752e+18,-3.718649946992225175e-02,-1.048901996786662627e+00,3.643956719579272141e-01,-1.926033112052122076e-01,3.671868005806766967e-03,3.669412884975076661e-03,9.812629705166784344e-01
1.691117773214766592e+18,-3.717309925267405640e-02,-1.048917571350257205e+00,3.643620508244865275e-01,-1.925766975793885560e-01,3.771431977114159551e-03,3.779959694565710338e-03,9.812673966636037415e-01
1.691117773224431104e+18,-3.717298279878233219e-02,-1.048905332640312826e+00,3.643560032499238432e-01,-1.926066033715328196e-01,3.770890980349661525e-03,3.761470653456250313e-03,9.812616002154668227e-01
1.691117773234187776e+18,-3.717027886259038211e-02,-1.048900197191624972e+00,3.643591566557778938e-01,-1.925979554653167725e-01,3.758604871109127998e-03,3.754031611606478691e-03,9.812633991241455078e-01
1.691117773294393344e+18,-3.717640907579936038e-02,-1.048892729735169782e+00,3.644014643711673274e-01,-1.925748735666275024e-01,3.663093317300081253e-03,3.684681374579668045e-03,9.812685251235961914e-01
1.691117773295111936e+18,-3.717648224411320562e-02,-1.048892640605937565e+00,3.644019693428692808e-01,-1.925746053457260132e-01,3.661953378468751907e-03,3.683853428810834885e-03,9.812685847282409668e-01
1.691117773295139328e+18,-3.717648503587037134e-02,-1.048892637205186995e+00,3.644019886102036199e-01,-1.925745904445648193e-01,3.661909839138388634e-03,3.683821996673941612e-03,9.812685847282409668e-01
1.691117773296377344e+18,-3.717661110191342738e-02,-1.048892483639127571e+00,3.644028586560060234e-01,-1.925741136074066162e-01,3.659945679828524590e-03,3.682395676150918007e-03,9.812687039375305176e-01
1.691117773296423168e+18,-3.717661576293408709e-02,-1.048892477961352876e+00,3.644028908240772857e-01,-1.925740987062454224e-01,3.659873036667704582e-03,3.682343056425452232e-03,9.812687039375305176e-01
1.691117773296980992e+18,-3.716779761281597400e-02,-1.048907840467524499e+00,3.644074897209832464e-01,-1.925539076328277588e-01,3.638095688074827194e-03,3.707478288561105728e-03,9.812726378440856934e-01
1.691117773303917056e+18,-3.717349283586767611e-02,-1.048903697309629068e+00,3.644005441363704634e-01,-1.925770640373229980e-01,3.643133211880922318e-03,3.685136092826724052e-03,9.812681674957275391e-01
1.691117773314963200e+18,-3.716448743752511635e-02,-1.048904560893515914e+00,3.643853578577119778e-01,-1.925944238901138306e-01,3.718930762261152267e-03,3.726919414475560188e-03,9.812643527984619141e-01
1.691117773323992064e+18,-3.717229380591874355e-02,-1.048913591523382260e+00,3.643781496688854316e-01,-1.925982683897018433e-01,3.652661340311169624e-03,3.738735336810350418e-03,9.812638163566589355e-01
1.691117773333709568e+18,-3.720265524032786292e-02,-1.048899107966363209e+00,3.643594881962075593e-01,-1.926278620958328247e-01,3.746769158169627190e-03,3.751972224563360214e-03,9.812575578689575195e-01
1.691117773343783168e+18,-3.720529725943044763e-02,-1.048897631781343653e+00,3.643632291459936723e-01,-1.925802975893020630e-01,3.704408416524529457e-03,3.761454951018095016e-03,9.812670350074768066e-01
1.691117773353044480e+18,-3.720373782910254418e-02,-1.048894619725930344e+00,3.643695164825241362e-01,-1.926107555627822876e-01,3.728830022737383842e-03,3.719731932505965233e-03,9.812611341476440430e-01
1.691117773364927488e+18,-3.718705205448753770e-02,-1.048898099746329304e+00,3.643924506215513448e-01,-1.925747394561767578e-01,3.667643293738365173e-03,3.685015719383955002e-03,9.812685251235961914e-01
1.691117773374788864e+18,-3.716426728538892166e-02,-1.048901343553994669e+00,3.643932513261942674e-01,-1.925752907991409302e-01,3.683097194880247116e-03,3.721035085618495941e-03,9.812682271003723145e-01
1.691117773436035072e+18,-3.718795104239215610e-02,-1.048900500938638292e+00,3.643621985813464970e-01,-1.925756186246871948e-01,3.732392797246575356e-03,3.773244796320796013e-03,9.812678098678588867e-01
1.691117773436070144e+18,-3.718796459514427111e-02,-1.048900500456461549e+00,3.643621808117775140e-01,-1.925756186246871948e-01,3.732420969754457474e-03,3.773274598643183708e-03,9.812678098678588867e-01
1.691117773436950272e+18,-3.718830488907659548e-02,-1.048900488349560733e+00,3.643617346384506739e-01,-1.925756335258483887e-01,3.733129240572452545e-03,3.774024778977036476e-03,9.812678098678588867e-01
1.691117773445306368e+18,-3.719153616020639402e-02,-1.048900373388126583e+00,3.643574979863893892e-01,-1.925756782293319702e-01,3.739854786545038223e-03,3.781147999688982964e-03,9.812677502632141113e-01
1.691117773454842368e+18,-3.719522370732401828e-02,-1.048900242193408161e+00,3.643526630921729570e-01,-1.925757229328155518e-01,3.747530048713088036e-03,3.789277048781514168e-03,9.812676906585693359e-01
1.691117773464327936e+18,-3.717939009675325090e-02,-1.048896217910138207e+00,3.643605835918181657e-01,-1.925521045923233032e-01,3.732602344825863838e-03,3.747330047190189362e-03,9.812725186347961426e-01
1.691117773474475776e+18,-3.715242908571533137e-02,-1.048891694976298528e+00,3.643989388516788996e-01,-1.925525069236755371e-01,3.672027261927723885e-03,3.735411912202835083e-03,9.812726974487304688e-01
1.691117773484776192e+18,-3.715891900688211152e-02,-1.048892552939899359e+00,3.644033486812215394e-01,-1.925888061523437500e-01,3.707502968609333038e-03,3.699858440086245537e-03,9.812656044960021973e-01
1.691117773494222336e+18,-3.716017816948508079e-02,-1.048889644398871557e+00,3.644380104912816054e-01,-1.925940960645675659e-01,3.626302117481827736e-03,3.665487281978130341e-03,9.812649488449096680e-01
1.691117773503107328e+18,-3.716523384487487730e-02,-1.048901945089962151e+00,3.644127795165207351e-01,-1.926262527704238892e-01,3.659705631434917450e-03,3.747470444068312645e-03,9.812582135200500488e-01
1.691117773513975808e+18,-3.718111585654303858e-02,-1.048899348453312230e+00,3.644075789303555246e-01,-1.925742328166961670e-01,3.653167514130473137e-03,3.665790893137454987e-03,9.812687635421752930e-01
