# timestamp, wx, wy, wz, ax, ay, az
1.691117773285322752e+18,4.872107186358099612e-03,6.090133982947624515e-03,3.045066991473812518e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117773295322624e+18,1.827040194884287441e-02,9.744214372716199224e-03,4.019488428745432440e-02,3.065717760000000180e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117773305322752e+18,2.436053593179049806e-03,7.308160779537149418e-03,3.288672350791717325e-02,1.532858880000000090e-01,0.000000000000000000e+00,9.657010944000001373e+00
1.691117773315322624e+18,-3.654080389768574709e-03,7.308160779537149418e-03,3.288672350791717325e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117773325322752e+18,6.090133982947624515e-03,1.583434835566382287e-02,3.045066991473812518e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117773335322624e+18,3.654080389768574709e-03,7.308160779537149418e-03,2.801461632155907364e-02,3.065717760000000180e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117773345322496e+18,4.872107186358099612e-03,8.526187576126675188e-03,3.288672350791717325e-02,3.065717760000000180e-01,0.000000000000000000e+00,9.657010944000001373e+00
1.691117773355322624e+18,1.218026796589524903e-03,1.218026796589524903e-02,2.070645554202192595e-02,0.000000000000000000e+00,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117773365322496e+18,-4.872107186358099612e-03,4.872107186358099612e-03,3.288672350791717325e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117773375322624e+18,-9.744214372716199224e-03,9.744214372716199224e-03,3.410475030450670075e-02,3.065717760000000180e-01,-1.532858880000000090e-01,9.350439168000001189e+00
1.691117773385322496e+18,6.090133982947624515e-03,1.096224116930572499e-02,3.410475030450670075e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117773395322624e+18,4.872107186358099612e-03,1.218026796589524903e-02,3.288672350791717325e-02,3.065717760000000180e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117773405322496e+18,4.872107186358099612e-03,7.308160779537149418e-03,2.923264311814859767e-02,3.065717760000000180e-01,-1.532858880000000090e-01,9.503725056000000393e+00
