# timestamp, wx, wy, wz, ax, ay, az
1.691119075075499008e+18,-2.436053593179049806e-03,6.090133982947624515e-03,3.532277710109622132e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691119075085499136e+18,0.000000000000000000e+00,1.096224116930572499e-02,2.801461632155907364e-02,3.065717760000000180e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691119075095499008e+18,9.744214372716199224e-03,6.090133982947624515e-03,3.045066991473812518e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691119075105499136e+18,1.218026796589524903e-03,1.096224116930572499e-02,3.166869671132764574e-02,4.598576639999999993e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691119075115499008e+18,4.872107186358099612e-03,7.308160779537149418e-03,3.166869671132764574e-02,0.000000000000000000e+00,-1.532858880000000090e-01,9.503725056000000393e+00
1.691119075125499136e+18,-2.436053593179049806e-03,1.339829476248477480e-02,2.679658952496954960e-02,1.532858880000000090e-01,0.000000000000000000e+00,9.657010944000001373e+00
1.691119075135499008e+18,3.654080389768574709e-03,4.872107186358099612e-03,2.192448233861144999e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691119075145498880e+18,3.654080389768574709e-03,4.872107186358099612e-03,2.923264311814859767e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.657010944000001373e+00
1.691119075155499008e+18,-4.872107186358099612e-03,2.436053593179049806e-03,2.923264311814859767e-02,1.532858880000000090e-01,0.000000000000000000e+00,9.657010944000001373e+00
1.691119075165498880e+18,0.000000000000000000e+00,1.827040194884287441e-02,2.314250913520097402e-02,0.000000000000000000e+00,-1.532858880000000090e-01,9.503725056000000393e+00
1.691119075175499008e+18,-3.654080389768574709e-03,1.339829476248477480e-02,3.166869671132764574e-02,3.065717760000000180e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691119075185498880e+18,0.000000000000000000e+00,1.218026796589524903e-02,3.288672350791717325e-02,4.598576639999999993e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691119075195499008e+18,1.218026796589524903e-03,2.436053593179049806e-03,2.923264311814859767e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.503725056000000393e+00
