# timestamp, x, y, z, qw, qx, qy, qz
1.691119217482564352e+18,-1.288508151208415387e-01,3.008812386293705995e-02,3.616514096560165537e-01,7.113363902479354905e-01,9.453615052156805199e-04,-1.994782335137446072e-03,7.028482532126667515e-01
1.691119217486112768e+18,-1.288444077218523220e-01,3.000446937615016199e-02,3.614327748645153049e-01,7.113542185385389738e-01,1.861144002554993016e-03,-2.334976657362819452e-03,7.028273328452984137e-01
1.691119217495727616e+18,-1.288459706483615352e-01,3.001309365768891832e-02,3.614396100581395155e-01,7.113551933713293529e-01,1.785111260443394965e-03,-2.325376514890786783e-03,7.028265752413538348e-01
1.691119217505807104e+18,-1.288578717861857681e-01,2.992329503692365764e-02,3.611774979989412215e-01,7.113730471450565584e-01,2.864894869775147512e-03,-2.788876765324077578e-03,7.028032458229900303e-01
1.691119217515294976e+18,-1.289634442946022141e-01,3.006567412538619852e-02,3.613287014940101405e-01,7.114761116506458372e-01,2.301611465163500014e-03,-2.510769265487322599e-03,7.027020287240081098e-01
1.691119217525578752e+18,-1.288029550813077351e-01,3.007914740353130958e-02,3.617024917269857642e-01,7.112465364453447458e-01,7.010142771117223700e-04,-1.932667836988866345e-03,7.029396402028528223e-01
1.691119217537014272e+18,-1.288516074439862436e-01,3.001564456245846280e-02,3.614283480196336940e-01,7.113369434639901234e-01,1.889989345858600562e-03,-2.425094791998705802e-03,7.028444349348087483e-01
1.691119217546715392e+18,-1.288536272730208265e-01,3.000863548254832647e-02,3.614248775718325590e-01,7.113437652587890625e-01,1.927442150190472603e-03,-2.385342726483941078e-03,7.028376460075378418e-01
1.691119217600187904e+18,-1.288765833642911141e-01,3.008027296185894484e-02,3.615775048315544304e-01,7.113462686538696289e-01,1.194824581034481525e-03,-2.124036429449915886e-03,7.028374671936035156e-01
1.691119217600661504e+18,-1.288767866405407247e-01,3.008090731192988865e-02,3.615788563463475658e-01,7.113462686538696289e-01,1.188337220810353756e-03,-2.121722558513283730e-03,7.028374671936035156e-01
1.691119217600943872e+18,-1.288769078283954761e-01,3.008128549444952227e-02,3.615796620832635311e-01,7.113463282585144043e-01,1.184469670988619328e-03,-2.120343269780278206e-03,7.028374671936035156e-01
1.691119217604878336e+18,-1.288785969864756908e-01,3.008655673272785103e-02,3.615908927220506941e-01,7.113465070724487305e-01,1.130562042817473412e-03,-2.101115649566054344e-03,7.028374671936035156e-01
1.691119217616979200e+18,-1.288837918922021708e-01,3.010276811414808878e-02,3.616254318871118811e-01,7.113469839096069336e-01,9.647723636589944363e-04,-2.041982486844062805e-03,7.028373479843139648e-01
1.691119217627353344e+18,-1.288126050701654257e-01,3.007223759308281716e-02,3.617056706091586471e-01,7.112606167793273926e-01,6.841524154879152775e-04,-1.874839304946362972e-03,7.029255628585815430e-01
1.691119217636054784e+18,-1.288509675462147230e-01,3.001198960080439862e-02,3.614108458048898020e-01,7.113571166992187500e-01,2.042754786089062691e-03,-2.441286109387874603e-03,7.028235197067260742e-01
1.691119217645927936e+18,-1.289204279721146151e-01,2.999107183844300362e-02,3.611988399877817946e-01,7.114633917808532715e-01,2.897719386965036392e-03,-2.753995126113295555e-03,7.027118206024169922e-01
1.691119217656226816e+18,-1.289158368801938404e-01,2.997884706356554116e-02,3.611686779981714834e-01,7.114731669425964355e-01,3.024437930434942245e-03,-2.816812833771109581e-03,7.027012109756469727e-01
1.691119217665764352e+18,-1.288474097528487239e-01,3.008941083600928310e-02,3.616406048107206894e-01,7.113412618637084961e-01,9.750579483807086945e-04,-2.051131101325154305e-03,7.028431296348571777e-01
1.691119217675593216e+18,-1.288443048833469995e-01,3.000751710713087800e-02,3.614329795622497898e-01,7.113479971885681152e-01,1.914396299980580807e-03,-2.360600978136062622e-03,7.028335332870483398e-01
1.691119217743514880e+18,-1.288438671027950511e-01,2.994925063998134587e-02,3.612619188898008593e-01,7.113746404647827148e-01,2.635982353240251541e-03,-2.659640274941921234e-03,7.028030157089233398e-01
