# timestamp, wx, wy, wz, ax, ay, az
1.691117384993539072e+18,1.096224116930572499e-02,2.436053593179049806e-03,2.923264311814859767e-02,3.065717760000000180e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117385003539200e+18,-1.339829476248477480e-02,1.096224116930572499e-02,3.166869671132764574e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117385013539072e+18,0.000000000000000000e+00,7.308160779537149418e-03,3.045066991473812518e-02,0.000000000000000000e+00,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117385023538944e+18,-1.218026796589524903e-03,4.872107186358099612e-03,3.288672350791717325e-02,3.065717760000000180e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117385033539072e+18,4.872107186358099612e-03,1.218026796589524903e-02,3.288672350791717325e-02,1.532858880000000090e-01,0.000000000000000000e+00,9.657010944000001373e+00
1.691117385043538944e+18,4.872107186358099612e-03,3.654080389768574709e-03,3.775883069427527633e-02,3.065717760000000180e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117385053539072e+18,7.308160779537149418e-03,1.218026796589524903e-02,3.166869671132764574e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117385063538944e+18,-1.218026796589524903e-03,1.096224116930572499e-02,3.410475030450670075e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117385073539072e+18,-4.872107186358099612e-03,7.308160779537149418e-03,2.070645554202192595e-02,1.532858880000000090e-01,-1.532858880000000090e-01,9.503725056000000393e+00
1.691117385083538944e+18,-6.090133982947624515e-03,7.308160779537149418e-03,4.141291108404385191e-02,3.065717760000000180e-01,-1.532858880000000090e-01,9.657010944000001373e+00
1.691117385093539072e+18,-7.308160779537149418e-03,7.308160779537149418e-03,3.166869671132764574e-02,6.131435520000000361e-01,-3.065717760000000180e-01,9.503725056000000393e+00
1.691117385103538944e+18,8.526187576126675188e-03,1.827040194884287441e-02,2.923264311814859767e-02,3.065717760000000180e-01,-1.532858880000000090e-01,9.657010944000001373e+00
