# timestamp, x, y, z, qw, qx, qy, qz
1.691117384473539072e+18,-1.527621332814772748e+00,-1.291547421646019211e+00,3.634393836274993905e-01,9.997231118888381118e-01,1.104146107125323067e-04,-7.513948818874184934e-03,-2.229860841081361331e-02
1.691117384483615488e+18,-1.527639360831591908e+00,-1.291562425676797687e+00,3.634450153419876983e-01,9.997243571584581989e-01,1.156774647771245668e-04,-7.430401046222112615e-03,-2.227073108642918520e-02
1.691117384493817344e+18,-1.527646827098190885e+00,-1.291573091814893104e+00,3.634361975359535202e-01,9.997238414427960240e-01,1.069170578426800880e-04,-7.395922676084133209e-03,-2.230537485386652544e-02
1.691117384504771840e+18,-1.527646771453051278e+00,-1.291578320834867011e+00,3.634384476156810040e-01,9.997236043416402040e-01,8.911785756512102775e-05,-7.358452329763510470e-03,-2.232846075029865443e-02
1.691117384515067648e+18,-1.527656661140891714e+00,-1.291569230242312516e+00,3.634075142660916913e-01,9.997228646746543212e-01,1.114451994653105620e-04,-7.489671834355728433e-03,-2.231784582983295864e-02
1.691117384524257024e+18,-1.527634491959638963e+00,-1.291558925517254153e+00,3.634226170067172412e-01,9.997226475855219840e-01,1.341511656576463700e-04,-7.507284611029841660e-03,-2.232152740804579233e-02
1.691117384534770944e+18,-1.527624951276985499e+00,-1.291563164365572280e+00,3.634440814086701277e-01,9.997236686649255688e-01,4.168611926371953991e-05,-7.425194139585533648e-03,-2.230361103944916712e-02
1.691117384544195072e+18,-1.527617989172689983e+00,-1.291562340476579696e+00,3.634299678517551868e-01,9.997226402523208266e-01,4.500705155961737936e-05,-7.491539931694380684e-03,-2.232750256401045200e-02
1.691117384553616128e+18,-1.527608820984359239e+00,-1.291552790815481577e+00,3.634469630413801888e-01,9.997222600133285342e-01,8.170645270019068174e-05,-7.494581748674290257e-03,-2.234339728668936417e-02
1.691117384563624704e+18,-1.527341886312752361e+00,-1.291564890424673484e+00,3.641255067741631657e-01,9.997422654075882598e-01,-1.037525561145702033e-03,-4.693475790150725135e-03,-2.218778004714940660e-02
1.691117384573107712e+18,-1.527620529883729761e+00,-1.291568023830774958e+00,3.634605384226300417e-01,9.997231967528251717e-01,9.108931291443128598e-05,-7.472766423063160503e-03,-2.230872786681286149e-02
1.691117384583097088e+18,-1.527639578210684190e+00,-1.291565791250399498e+00,3.634706360971020622e-01,9.997242534743021602e-01,6.132317981978088718e-05,-7.415448199279086119e-03,-2.228058308754026287e-02
1.691117384596111360e+18,-1.527379619689424706e+00,-1.291530448665174413e+00,3.640433404177203514e-01,9.997393739571401872e-01,-9.742740060321911479e-04,-4.876258895963659669e-03,-2.228131614438729965e-02
1.691117384604241664e+18,-1.527637639151599114e+00,-1.291563984366557172e+00,3.634343069866978748e-01,9.997236728668212891e-01,5.467007576953619719e-05,-7.375303190201520920e-03,-2.232118137180805206e-02
1.691117384663416064e+18,-1.527618537718089753e+00,-1.291586618435095923e+00,3.634332790378266287e-01,9.997241497039794922e-01,1.266882463824003935e-04,-7.526056375354528427e-03,-2.224926277995109558e-02
1.691117384664208640e+18,-1.527618281899442598e+00,-1.291586921565057056e+00,3.634332652708761047e-01,9.997241497039794922e-01,1.276527473237365484e-04,-7.528075482696294785e-03,-2.224829979240894318e-02
1.691117384664667648e+18,-1.527618133749353513e+00,-1.291587097114146987e+00,3.634332572981385234e-01,9.997241497039794922e-01,1.282113225897774100e-04,-7.529244758188724518e-03,-2.224774099886417389e-02
1.691117384664865280e+18,-1.527618069948613710e+00,-1.291587172714248499e+00,3.634332538646842803e-01,9.997241497039794922e-01,1.284518657485023141e-04,-7.529748138040304184e-03,-2.224750071763992310e-02
